index,relativePath,classFolder,sizeBytes,sha256,dhash,phash,ahash
0,DS-071/plants-2101397/Figure S1.png,plants-2101397,34288560,371600553ac63bde1eb68766bd6468d8e9a6f315b48fef48a06ea0c492376e92,13015294735468106391,9230791938055564875,4647573526046277503
1,DS-071/plants-2101397/Figure S2.png,plants-2101397,1205595,478d240a97259ba411ceb51c144d43068d2b4346d682b2086d20ba05440bdab0,5934293539173853387,15500559225139259451,71821091288956704
2,DS-071/plants-2101397/Figure S3.png,plants-2101397,2741147,5f52b8b30b06ad80db2090b2655b2bde3134c0d37ca72757f32d36eef910a1f0,24182840380590955,16975503140235258431,72057594028556288
3,DS-090/Hemp_growth/C1/ryb_C1_20241212_13_44.jpg,C1,5736,b21759b96c031a32c45f1115aeaa1b57913336974e4bea51fb3316f24a6a57d5,131079,16758853637879851159,18446744073709551489
4,DS-090/Hemp_growth/C1/ryb_C1_20241212_14_00.jpg,C1,5717,ef0d784e8e199e0dce60f31cb2d11e6b4aef6b0b1692dded1683223bcf550a47,131079,16759979537786693782,18446744073709551489
5,DS-090/Hemp_growth/C1/ryb_C1_20241212_15_00.jpg,C1,6407,db38785663b1921ac75954f4afac1cb54205f962a72161b4694aabd13352a59c,1245199,16759698062809983127,18446744073709551489
6,DS-090/Hemp_growth/C1/ryb_C1_20241212_16_00.jpg,C1,5787,96ff82540257e5055974725ebbecc6d8dacb80ddae31c420c3da49b9bc4481a3,131083,16831755652552943767,18446744073709551489
7,DS-090/Hemp_growth/C1/ryb_C1_20241212_17_00.jpg,C1,5846,454b802ec82870615a847990f9f03d28be8ff9f0d26774950605071350580c28,196619,16831755652552943767,18446744073709551489
8,DS-090/Hemp_growth/C1/ryb_C1_20241213_08_00.jpg,C1,5804,a95dd984b880381778dd53edd0ee222b161d1e207a05d2995cb70356bcceeaf2,131091,16759698062809983127,18446744073709551489
9,DS-090/Hemp_growth/C1/ryb_C1_20241213_09_00.jpg,C1,5878,2e4adbef0531c8b9162514e2664dbc6cc4fc0bc5a196c4fe662ce810c61d6e0a,131091,16759698062809983127,18446744073709551489
10,DS-090/Hemp_growth/C1/ryb_C1_20241213_10_00.jpg,C1,5928,f73ca91a834c67ef4d3aa6062f9a2cb72e7d674b0313677352a0d48a81cb1fd5,131091,16759698062809983127,18446744073709551489
11,DS-090/Hemp_growth/C1/ryb_C1_20241213_11_00.jpg,C1,5871,2629c3c76498b88f080caa60e1a1d049d6ca8443417a0929c6d5d8d21612fb0c,131091,16759698062809983127,18446744073709551489
12,DS-090/Hemp_growth/C1/ryb_C1_20241213_12_00.jpg,C1,6065,cf03e1eb211da70bcd478a1b03e10acf5529e23b8491a89a607a9da3b38cb32b,131095,16759698062809983127,18446744073709551489
13,DS-090/Hemp_growth/C1/ryb_C1_20241213_13_00.jpg,C1,5989,0ea66c0f7738fc1aad7370ab0eb9f73cf9302b887dcaf422ac30630543f17561,131083,16759698062809983127,18446744073709551489
14,DS-090/Hemp_growth/C1/ryb_C1_20241213_14_00.jpg,C1,5872,d3aba871f5e0f08389a7160db196d537d2d1c3538b58deebe696eb95deba1b38,131079,16759698062809983127,18446744073709551489
15,DS-090/Hemp_growth/C1/ryb_C1_20241213_15_00.jpg,C1,5682,3546a7756fd1ce9ac1fbcd59aa8885cd604e1181d82bfb85e8e22328ae8f68bd,131075,16759979537786693782,18446744073709551489
16,DS-090/Hemp_growth/C1/ryb_C1_20241213_16_00.jpg,C1,7062,1f712b98133edb19de2237ba54837f5bea5547b8a2db964430f0f8b68a382139,2164751,16831755652552943767,18446744073709551489
17,DS-090/Hemp_growth/C1/ryb_C1_20241213_17_00.jpg,C1,5859,973b91b33c1ac9a1ce8c9e0776fa4cce3d444aad575e5a5476cea5175875f083,196619,16759698062809983127,18446744073709551489
18,DS-090/Hemp_growth/C1/ryb_C1_20241214_08_00.jpg,C1,6121,be604d81cbb15bcd916ff854c790f6ae380b2ddba55f20c9fc8852302b81a4cf,1179663,16759698062809983127,18446744073709551489
19,DS-090/Hemp_growth/C1/ryb_C1_20241214_09_00.jpg,C1,14391,2efd1b4bc7048ea9230b6442883c52883d3c59bd497e53b35e15760b9122f5ee,1641735,18055542880614099158,18374403892281401344
20,DS-090/Hemp_growth/C1/ryb_C1_20241214_10_00.jpg,C1,6253,aa789157f5e9c3a26dcdfb8b7df6414579ef6df052ddd5886d754722d2d4cd7d,1245199,16759979537786693767,18446744073709551489
21,DS-090/Hemp_growth/C1/ryb_C1_20241214_11_00.jpg,C1,6233,1d4e926b5e6c48d9b84e7622709765cd16cf2591d52323d23908601e6ad0f5b9,1245191,16759698062809983127,18446744073709551489
22,DS-090/Hemp_growth/C1/ryb_C1_20241214_12_00.jpg,C1,6230,6a554b46e427ce73a85a4ea0a1ac95503260e5a0dd384ff4df3c203159d7b5d6,65559,16759698062809983127,18446744073709551489
23,DS-090/Hemp_growth/C1/ryb_C1_20241214_13_00.jpg,C1,6133,77a3997e76cc5d0f6042513d59b9769b591042b58e74e50779eb1a5c89f4211c,131095,16759979537786693782,18446744073709551489
24,DS-090/Hemp_growth/C1/ryb_C1_20241214_14_00.jpg,C1,5902,6b418fcf307b129efc46d6034a1f1ea78f738e1d46e74e19a77d93a28c8785c9,131079,16759979537786693782,18446744073709551489
25,DS-090/Hemp_growth/C1/ryb_C1_20241214_15_00.jpg,C1,6100,5018c46cd9e7d5a025d649ae10668424dac80af14017431988957362808591be,1245199,16759698062809983127,18446744073709551489
26,DS-090/Hemp_growth/C1/ryb_C1_20241214_16_00.jpg,C1,5999,875f71af8407c3bc9648aaa26d7fca6dd621736159a173bfdc048a7bcb5b472b,1245199,16759698062809983127,18446744073709551489
27,DS-090/Hemp_growth/C1/ryb_C1_20241214_17_00.jpg,C1,6132,877b69fe9a168b1ebf0582fcde57ff24647531834194e5f0ca784ad4ab2a987d,1245195,16759698062809983127,18446744073709551489
28,DS-090/Hemp_growth/C1/ryb_C1_20241215_08_00.jpg,C1,6265,40d7bd1ac517149fe25d0c5299d7e7ebb6c79b204f10d864f10ceed6333dd2e2,2228239,16759698062809983127,18446744073709551489
29,DS-090/Hemp_growth/C1/ryb_C1_20241215_09_00.jpg,C1,14282,4325a19b8bf4b8d9464c71d30de25e8164cfa77b17ef0544f49b7e7a328db31a,1350110215,17479992523938474390,18374685375864816640
30,DS-090/Hemp_growth/C1/ryb_C1_20241215_10_00.jpg,C1,6417,56c04bcf379d8fb1abe2f05c1c19d5e4421fd0fd56747b3109d7a5ff139ee079,2295823,16755475938159323287,18446744073709551489
